
style,moviename,language,country,imdbscore,counter,doubancounter,actor,dateyear,director,imdbcounter,movie_head_pic,downloadlink,movie_detail_pic,aboutmovie,doubanscore,translation_name
动作/悬疑/武侠/古装,宋慈洗冤录,普通话,中国,,81分钟,,"柏程俊 Chenjun bai,张维娜 Weina Zhang,张译文 Yiwen Zhang,李净洋 JingyangLi",2019-06-11(中国),李博轩 Boxuan Li,,94c7aa4117ba3f52f613cd10b2617525.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:6170/阳光电影www.ygdy8.com.宋慈洗冤录.HD.1080p.国语中字.mp4,EPHWh.jpg,《宋慈洗冤录》是一部古装探案类影片，讲述宋慈运用高超的法医探案技巧，在重重困难下，寻找蛛丝马迹，用证据一步步逼近现实，侦破一桩桩看似离奇的悬案。,,Corner
剧情/爱情,寝ても覚めても/Asako I & II/Netemo sametemo,日语,日本/法国,6.6,119分钟,10 from 4836 users,"东出昌大 Masahiro Higashide,唐田英里佳 Erika Karata,濑户康史 Koji Seto,山下莉绪 Rio Yamashita,伊藤沙莉 Sairi Itô,渡边大知 Daichi Watanabe,仲本工事 Kôji Nakamoto,田中美佐子 Tanaka Misako,◎标　　签　日本 | 爱情 | 2018 | 剧情 | 戛纳 | 文艺 | 映画 | 法国",2018-05-14(戛纳电影节)/2018-09-01(日本),滨口龙介 Ryûsuke Hamaguchi,10 from 711 users,0cdd760524f5427f859da43d7a3b9a0d.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8498/阳光电影www.ygdy8.com.夜以继日.BD.720p.日语中字.mkv,lT68t.jpg,自从初恋失踪以后，朝子便失去了生活的目标。两年后，她遇到了一个外形与恋人几乎一模一样的男人。她被这种奇妙的相似所吸引，却逐渐感受到这个年轻男人拥有截然不同的性格。,7.4,夜以继日/不论睡着或醒着/睡了也好，醒来也好(港)/睡着也好醒来也罢(台)/睡着吻别醒来抱拥/睡着吻别，醒来拥抱(港)
剧情/悬疑/犯罪,検察側の罪人/Killing For the Prosecution,日语,日本,6.2,123分钟,10 from 4448 users,"木村拓哉 Takuya Kimura,二宫和也 Kazunari Ninomiya,吉高由里子 Yuriko Yoshitaka,松重丰 Yutaka Matsushige,大仓孝二 Koji Ookura,平岳大 Takehiro Hira,八岛智人 Norito Yashima,矢岛健一 Kenichi Yajima,音尾琢真 Takuma Otoo,木村绿子 Midoriko Kimura",2018-08-24(日本),原田真人 Masato Harada,10 from 380 users,bc00c2da557e6d26ea9138dd037d8849.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8499/阳光电影www.ygdy8.com.检察方的罪人.BD.720p.日语中字.mkv,lqcbj.jpg,正义感十足的新人检察官冲野启一郎（二宫和也 饰）十分敬仰当初的导师最上毅（木村拓哉 饰）。经过数年的历练，冲野终于如愿以偿调到东京地方检察厅刑警部，与成为最上麾下的一名得力干将。与此同时，橘沙穗（吉高由里子 饰）也加入刑警部，成为冲野的事务官，但她真正的身份是卧底，其目的是获取检察官为了争取顶罪而使用非常乃至违法手段的铁证。不久后，一起夫妇谋杀事件将犯罪嫌疑人松仓重生（酒向芳 饰）带到冲野面前。松仓是23年前一起花季少女杀人案的嫌疑人，但因缺乏证据无法将其定罪，此案最终过了追诉期。愤恨不已的最上执拗地要将松仓绳之於法，为此他不惜授意冲野拼尽全力朝着预设的方向推进。人性当前，谁也无法保持100%的正义。,7.3,检察方的罪人/检察的罪人/检查狂人(港)
喜剧,ハード·コア/Hard Core: Heisei Jigoku Brothers/Hardcore,日语,日本,7.4,124分钟,10 from 115 users,"山田孝之 Takayuki Yamada,佐藤健 Takeru Satô,荒川良良 YosiYosi Arakawa,石桥桂 Kei Ishibashi,首くくり栲象,康巢恩 Suon Kan,藤原季节 Kisetsu Fujiwara,松隆子 Takako Matsu,◎标　　签　日本 | 山田孝之 | 日本电影 | 佐藤健 | 2018 | 山下敦弘 | 日影 | 电影",2018-10-31(东京电影节)/2018-11-23(日本),山下敦弘 Nobuhiro Yamashita,10 from 5 users,7b053b0bb7e31fb924b3dccf6e4b654d.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8501/阳光电影www.ygdy8.com.硬核.BD.720p.日语中字.mkv,lcf9h.jpg,影片讲述生活在城市底层的男人们之间可悲又可笑的友情故事：山田孝之饰演的是一个身处艰辛世道却仍宁折不弯、一见到酒馆里大吵大嚷的年轻人就会发脾气的男人权藤右近。唯一与右近能相处得来的，是做着掘金工作、善良老实的牛山（荒川良良饰）。而右近的弟弟——身为商务精英的左近（佐藤健饰）则对两人虽收入甚微却自由自在的生活深感羡慕。,6.2,硬核/平成地獄兄弟～驚驚
犯罪/动作,洗罪,普通话,中国,,,,"孙一明 Yiming Sun,黄垲翔 Kaixiang Huang,高天景 Tianjing Gao,杨棕喆 ZongZhe Yang,彭娜齐 Nati Peng",2019-06-15(中国),海涛 Tao Hai,,fce06d977bbe377a6dedec12526c9815.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7461/阳光电影www.ygdy8.com.洗罪.HD.1080p.国语中字.mp4,bJZ3h.jpg,影片讲述了在时局黑暗的民国天津，一名正义的警 察郭翀，卷入了天津卫两大势力钱家与三才帮的争斗，并最终找回他护国安民、打击罪恶信仰的故事。,,White Wash
喜剧,3D彼女 リアルガール/3D Kanojo: Real Girl,日语,日本,8.0,115分钟,10 from 1269 users,"中条彩未 Ayami Nakajo,佐野勇斗 Sano Hayato,清水寻也 Hiroya Shimizu,恒松祐里 Yuri Tsunematsu,上白石萌歌 Moka Kamishiraishi,优太朗 Yutaro,三浦贵大 Takahiro Miura,神田沙也加 Sayaka,滨田麻里 Mari Hamada,竹内力 Riki Takeuchi",2018-06-18(上海电影节)/2018-09-14(日本),英勉 Tsutomu Hanabusa,10 from 33 users,2b17a4a657287477ef03ee1bce1130b2.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7415/阳光电影www.ygdy8.com.三次元女友.BD.720p.日语中字.mkv,l2xoE.jpg,本作是在原著同名漫画基础上改编的剧场版电影。筒井光是一名沉浸于二次元世界的超级宅男。一次，他帮助了在书店被冤枉偷书的一位女生，没想到她就是学校第一美少女五十岚色叶。这般机缘巧合下两人相识，随后筒井光突然被五十岚色叶告白，两个差距极大的人就这样开始了交往。,6.6,三次元女友/3D女友/3D女朋友
剧情/家庭/犯罪,万引き家族/Manbiki kazoku/Shoplifters/Une Affaire de Famille,日语,日本,8.1,117分钟(中国大陆),10 from 328790 users,"中川雅也 Lily Franky,安藤樱 Sakura Andô,松冈茉优 Mayu Matsuoka,城桧吏 Jyo Kairi,佐佐木美雪 Miyu Sasaki,树木希林 Kirin Kiki,绪形直人 Naoto Ogata,池松壮亮 Sosuke Ikematsu,森口瑶子 Yôko Moriguchi,山田裕贵 Yûki Yamada",2018-05-13(戛纳电影节)/2018-06-08(日本)/2018-08-03(中国),是枝裕和 Hirokazu Koreeda,10 from 23291 users,cf9c0a6f9b6bad94be6ecb9dd0421d05.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:3196/阳光电影www.ygdy8.com.小偷家族.BD.720p.日语中字.mkv,lUHWr.jpg,东京的都市丛林中央，残存着一栋古旧寒酸的老房子，这里局促地生活着柴田一家五口人。在工地当临时工的男人阿治（Lily Franky 饰）经常带着儿子祥太（城桧吏 饰）到超市盗窃生活用品，这一天，他们回家路上遇到了独自待在户外的四岁女孩由里（佐佐木美结 饰）。妻子信代（安藤樱 饰）起初极力主张将女孩送回父母身边，但当看到女孩原生家庭的状况时又心生恻隐。原本柴田家就靠着老奶奶初枝（树木希林 饰）的养老金度日，而今多了一口人，自然更艰辛了几分。包括信代的妹妹亚纪（松冈茉优 饰）在内，虽然一家人游走在贫困和违法的边缘，但笃深的羁绊将他们紧紧联系在一起，使他们的心不会随着冰冷的都市而寒冷下去……,8.7,小偷家族
动作/悬疑,Ordinary People/The Villagers,韩语,韩国,5.9,99分钟,10 from 1367 users,"马东锡 Tong-Seok Ma,金赛纶 Sae-ron Kim,李相烨 Sang-Yeob Lee,陈善圭 Jin Sun-kyu,张光 Gwang Jang,申世辉 Shin Se-hwi,吴熙俊 Hee-joon Oh,裴真雅 Jin-ah Bae,◎标　　签　韩国 | 犯罪 | 悬疑 | 2018 | 动作 | 剧情 | 校园 | 社会",2018-11-07(韩国),林镇秀 Jin-soon Lim,10 from 73 users,ef5b7ed40af1873135f13e9fdfe46028.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8497/阳光电影www.ygdy8.com.邻里的人们.BD.720p.韩语中字.mkv,lugtq.jpg,基哲（马东石饰演）被调派到乡下高中担任体育老师并兼任训导主任，不过，基哲一到学校便立刻觉得事有蹊跷，不仅学校职员散发出一股诡谲的气氛，镇上居民也好像隐藏着什么不可告人的秘密。某日，一名女学生失踪了，但大家却默不吭声，仿佛事情从未发生过，只有女学生的朋友宥贞（金赛纶饰），坚信好友遭人绑架，不放弃追查。 女学生消失的证据，正在一点点被抹去，基哲和宥贞这对师生，该如何找出事件背后的骇人真相，救出失踪女学生呢？,5.8,邻里的人们/乡亲们/呆货/恶邻布局(台)
动作/奇幻,Monstrum,韩语,韩国,6.2,105分钟,10 from 223 users,"金明民 Myeong-min Kim,金仁权 In-kwon Kim,李惠利 Hyeri Lee,崔宇植 Woo-Sik Choi,朴圣雄 Seong-Woong Park,朴熙顺 Hee soon Park,李璟荣 Kyeong-yeong Lee,李度京 Lee Do-kyung,李圭福 Kyoo-bok Lee,李受美 Soo-mi Lee",2018-09-12(韩国),申政元 Jeong-won Shin,10 from 132 users,34dca3f7273512adf427a37cc7fec77f.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8480/阳光电影www.ygdy8.com.物怪.BD.720p.韩语中字.mkv,XBmkd.jpg,朝鲜中宗22年，王为了躲避宫中出现的怪物而迁宫。改编自这段史实，讲述了威胁王的「物怪」（诡异的物件）与觊觎王位的循旧势力展开的争斗。,5.0,物怪/恶兽(港)/水怪/灼鼠之变：物怪的袭击
剧情 / 爱情,On Your Wedding Day,韩语,韩国,6.9,110分钟,10 from 12479 users,"金英光 Young-kwang Kim,朴宝英 Bo-young Park,姜其永 Ki-Young Kang,高圭弼 Ko Kyu-pil,张成范 Jang Sung-bum,金贤淑 Hyeon-sook Kim,林炯俊 Hyeong-jun Lim,姜德重 Kang Deok-joong,徐恩秀 Seo Eun-su,宋再临 Jae-Lim Song",2018-08-22(韩国),李锡根 Seok Geun Lee,10 from 666 users,d76160aa8372cbb277818ca71c120583.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:5047/阳光电影www.ygdy8.com.你的婚礼.BD.720p.韩语中字.mkv,XlYmv.jpg,高中时年少懵懂的纯纯爱恋，经过长达十年的磨合，期间感情不断地变化，从心碎争执、失恋痛苦直到重新恋爱，不断重复纠缠在一起。这是属于一个只看着一个女人的「纯情男子」（金英光 饰），以及猜不透内心想法的「初恋女子」（朴宝英 饰）两人间的爱情故事，恋爱的酸甜苦辣即将展开……,7.2,你的婚礼/婚礼的那一天(台)
剧情,Default/National Bankruptcy Day/Sovereign Default,韩语,韩国,6.7,114分钟,10 from 14607 users,"金惠秀 Hye-su Kim,刘亚仁 Ah-in Yu,许峻豪 Jun-ho Heo,赵宇镇 Woo-jin Jo,文森特·卡索 Vincent Cassel,◎标　　签　韩国 | 金融危机 | 金融 | 政治 | 剧情 | 社会 | 2018 | 经济危机",2018-11-28(韩国),崔国熙 Choi Gook-hee,10 from 249 users,6708d93c4543957ee5b1daa811c002a7.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:3195/阳光电影www.ygdy8.com.国家破产之日.BD.720p.韩语中字.mkv,ja7aQ.jpg,《国家破产之日》将镜头对准了1997年的亚洲金融风暴。讲述国家破产前的一周时间内，想要阻止危机的人和追逐利益的人身上发生的故事。金慧秀在片中饰演最早预见破产并开始寻找对策的韩国银行通货政策小组组长韩诗贤，面对复杂的体系和权利关系，她面前的道路可谓困难重重；刘亚仁则饰演在危机中逐利的金融才子尹正学；法国影帝文森·卡索将饰演秘密入韩的IMF总裁。,7.5,国家破产之日/分秒币争(台)/国家不渡之日/救韩大时代(港)
喜剧/犯罪,Extreme Job,韩语,韩国,7.2,111分钟,10 from 67417 users,"柳承龙 Seung-yong Ryoo,李东辉 Dong-Hwi Lee,李荷妮 Ha-nui Lee,陈善圭 Jin Sun-kyu,申河均 Ha-kyun Shin,◎标　　签　韩国 | 喜剧 | 搞笑 | 犯罪 | 2019 | 警匪 | 动作 | 剧情",2019-01-23(韩国),李炳宪 Byeong-Heon Lee,10 from 1726 users,had.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7497/阳光电影www.ygdy8.com.极限职业.BD.720p.韩语中字.mkv,jNop5.jpg,李炳宪导演([二十])的新作[极限职业]卡司确定，演员柳承龙、李东辉、李哈妮、陈善圭、申河均确定出演该片。影片讲述毒品侦查班的故事。柳承龙、李东辉、李哈妮、陈善圭将饰演缉毒刑警。该片将于4月投入拍摄。,7.7,极限职业/极端职业/炸鸡特攻队(港)/鸡不可失(台)
剧情/励志,ちはやふる 結び,日语,日本,7.7,128分钟,10 from 1495 users,"广濑铃 Hirose Suzu,野村周平 Shuhei Nomura,真剑佑 Mackenyu,上白石萌音 Mone Kamishiraishi,矢本悠马 Yuma Yamoto,森永悠希 Yuki Morinaga,清水寻也 Hiroya Shimizu,优希美青 Mio Yuki,佐野勇斗 Sano Hayato,清原果耶 Kaya Kiyohara",2018-03-17(日本),小泉德宏 Norihiro Koizumi,10 from 103 users,f45bb24b71be4cd9dd8712076cbeec29.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7409/阳光电影www.ygdy8.com.花牌情缘：终结.BD.720p.日语中字.mkv,jYfTj.jpg,该片根据末次由纪的漫画《花牌情缘》改编，讲述升入高三的花牌竞技选手克服重重困难，迎战高中阶段最后一次全国大赛的故事。,8.1,花牌情缘：结 / 花牌情缘：终结
爱情 / 动画,君の膵臓をたべたい / I Want to Eat Your Pancreas / Let Me Eat Your Pancreas,日语,日本,7.7,108分钟,10 from 16099 users,"高杉真宙 Mahiro Takasugi,藤井雪代 Yukiyo Fujii,内田雄马 Yuma Uchida,福岛润 Jun Fukujima,田中敦子 Atsuko Tanaka,三木真一郎 Shinichirô Miki,◎标　　签　日本 | 动漫 | 青春 | 爱情 | 治愈 | 温暖 | 校园 | 人生",2018-09-01(日本) / 2019-01-18(中国),牛岛新一郎 Ushijima Shin'ichirō,10 from 754 users,8ee043ad6ec3f67964ea4be721f0840b.jpg,ftp://ygdy8:ygdy8@yg90.dydytt.net:8488/阳光电影www.ygdy8.com.我想吃掉你的胰脏.HD.720p.日语中字.mkv,jU4gt.jpg,“没有名字的我，没有未来的她”,6.8,我想吃掉你的胰脏 / 我想吃掉你的胰脏动画版
剧情 / 喜剧 / 爱情,となりの怪物くん / My Little Monster / Tonari no kaibutsu kun,日语,日本,6.6,105分钟,10 from 2189 users,"菅田将晖 Masaki Suda,土屋太凤 Tao Tsuchiya,古川雄辉 Yûki Furukawa,山田裕贵 Yûki Yamada,池田依来沙 Elaiza Ikeda,滨边美波 Minami Hamabe,佐野岳 Sano Gaku,佐野史郎 Shirô Sano,速水直道 Mokomichi Hayami,◎标　　签　菅田将晖 | 日本 | 菅田将暉 | 日本电影 | 漫改 | 漫画改编 | 邻座的怪同学 | 2018",2018-04-27(日本),月川翔 Shô Tsukikawa,10 from 112 users,d484a56689c494f0e24f6bb370807148.jpg,ftp://ygdy8:ygdy8@yg45.dydytt.net:7403/阳光电影www.ygdy8.com.邻座的怪同学.BD.720p.日语中字.mkv,X1ZW3.jpg,菅田将晖（24）和土屋太凤（22）共同主演定于明年上映的电影「邻座的怪同学」，两个人是首次映画共演。该片改编自累计突破500万部的少女漫画原作，讲述了土屋饰演的勤奋学习但是性格冷血的高中女生水谷雫和她的邻座，菅田饰演的无法预测行动的问题儿吉田春，从春的唐突告白开始，对爱情不擅长的两人开始逐渐了解对方并恋爱的故事。,6.5,邻座的怪同学
剧情/爱情,君の
